wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
sAH|Ger&uuml;st, Bock, Geb&auml;lk|RdE 29 (1977) S 11; Meeks: AL 773361|Geruest, Bock, Gebaelk
s(A)H|Bohrer, Ahle|Cerny: CED S 172; Meeks: AL 773362|Bohrer, Ahle
sAH-tA|landen|Wb IV S 20|landen
sAH-tA|[Nachbarn]|Wb IV S 21|[Nachbarn]
sAHjt|[G&ouml;ttin]|Wb IV S 22|[Goettin]
sAx|stauchen (von Nackenwirbel)|Wb IV S 22|stauchen (von Nackenwirbel)
sAx|verkl&auml;ren, herrlich machen|Wb IV S 22|verklaeren, herrlich machen
sAx|Verkl&auml;rung|Wb IV S 23|Verklaerung
sAx|Messer|Meeks: AL 783303|Messer
sAx|zur&uuml;cksto&szlig;en|Meeks: AL 783304|zurueckstossen
sAxt|Spr&uuml;che|Wb IV S 24|Sprueche
sAxt|[Beiname der Nephthys]|Wb IV S 24|[Beiname der Nephthys]
sAxt|[Bezeichnung des Messers]|Wb IV S 24|[Bezeichnung des Messers]
sAx-rn|Namen in gutem Andenken halten|Wb IV S 23|Namen in gutem Andenken halten
sAx-sA|sch&uuml;tzen|Wb IV S 23|schuetzen
sAxAx|gr&uuml;nen lassen|Wb IV S 24|gruenen lassen
sAxjj|der, der Nutzen hat(?)|Meeks: AL 773364|der, der Nutzen hat(?)
sAxw|verkl&auml;rende Spr&uuml;che|Wb IV S 24|verklaerende Sprueche
sAxmw|[Fledermaus]|Wb IV S 24|[Fledermaus]
sAs|Reibstein|Wb III S 422|Reibstein
sAsA|angreifen (Feind)|Wb IV S 25|angreifen (Feind)
sAsA|jemandem eine Salbe auflegen|Wb IV S 25|jemandem eine Salbe auflegen
sAsA|(Boot) festbinden, treideln|Cerny: CED S 163; Meeks: AL 773366; Meeks: AL 783305|(Boot) festbinden, treideln
sAsA-r(jj)r(jj)|[Baum]|RdE 29 (1977) S 11; Meeks: AL 773368|[Baum]
sAS|&ouml;ffnen (Ohren)|Wb III S 422|oeffnen (Ohren)
sAS|zur&uuml;cksto&szlig;en(?)|Meeks: AL 783307|zurueckstossen(?)
sAS|anflehen, bitten(?)|Meeks: AL 783308|anflehen, bitten(?)
sASrt|[Geb&auml;ck]|Wb IV S 25|[Gebaeck]
sAq|zusammenraffen, zusammenf&uuml;gen|Wb IV S 25|zusammenraffen, zusammenfuegen
sAq|[Zubereitungsart des Weihrauchs]|Wb IV S 26|[Zubereitungsart des Weihrauchs]
sAq|[Gestirn am Nordhimmel]|Wb IV S 26|[Gestirn am Nordhimmel]
sAq|[Gew&auml;sser]|Wb IV S 26|[Gewaesser]
sAq|[Beruf (neben Maurer)]|Wb IV S 26|[Beruf (neben Maurer)]
sAq|Matte|Wb IV S 26|Matte
sAq|ruinieren, zugrunderichten|RdE 29 (1977) S 11; Meeks: AL 773373|ruinieren, zugrunderichten
sAq|der, der versammelt [F&auml;hrmann im Jenseits]|Meeks: AL 783311|der, der versammelt [Faehrmann im Jenseits]
sAq|[Krokodilsgott]|Meeks: AL 773370|[Krokodilsgott]
sAq|Sack|Meeks: AL 773374|Sack
sAqtj|[Bauarbeiter]|Wb IV S 26|[Bauarbeiter]
sAq HAtjj|&uuml;berreden, &uuml;berzeugen|Cerny: CED S 149|ueberreden, ueberzeugen
sAq-jb|sich selbst beherrschend|Wb IV S 26|sich selbst beherrschend
sAq-bAw|[F&auml;hrmann im Jenseits]|Wb IV S 26|[Faehrmann im Jenseits]
sAq-nt|[Beiwort der Amaunet]|Meeks: AL 773371|[Beiwort der Amaunet]
sAq-Haw=f|sich zusammenrei&szlig;en|Wb IV S 25|sich zusammenreissen
sAqH|erfrischen|Wb IV S 26|erfrischen
sAkswt|[Erzeugnis des Wadi Natrun]|Wb IV S 27|[Erzeugnis des Wadi Natrun]
sAgt|[Fabeltier]|Wb III S 422|[Fabeltier]
sAg|mit Vegetation bedecken|Meeks: AL 783312|mit Vegetation bedecken
sAgb|bew&auml;ssern|Wb IV S 27|bewaessern
sAt|[Teil eines Geb&auml;udes]|Wb III S 422|[Teil eines Gebaeudes]
sAtt|[R&auml;ucherwerk]|Wb III S 422|[Raeucherwerk]
sAt|gegeneinander verschobene, gebrochene Knochen|Wb IV S 27|gegeneinander verschobene, gebrochene Knochen
sAt|besudeln, l&auml;stern (Gott)|Wb IV S 27|besudeln, laestern (Gott)
sAt|aufziehen lassen|Wb IV S 27|aufziehen lassen
sAt|Schmutz|Wb IV S 27|Schmutz
sAtj|[Substantiv]|Meeks: AL 792419|[Substantiv]
sAT|Wasser auf Opferplatte sprengen|Wb III S 422|Wasser auf Opferplatte sprengen
sAT|Wasserspende|Wb III S 423|Wasserspende
sAT|[Bauteil im Inneren einer Pyramide]|Wb III S 423|[Bauteil im Inneren einer Pyramide]
sAT|[Transportschiff]|Wb IV S 27|[Transportschiff]
sATw|Boden|Wb III S 423|Boden
sATwtj|[Gott]|Wb IV S 27|[Gott]
sAd|abschn&uuml;ren|Wb IV S 28|abschnueren
sAdt|[Priesterin]|Wb IV S 28|[Priesterin]
sAdt|[Substantiv]|Meeks: AL 773377|[Substantiv]
sAdd|eingeschlossen / begrenzt sein(?)|RdE 30 (1978) S 18; Meeks: AL 783317|eingeschlossen / begrenzt sein(?)
sAD|[Fest]|Wb IV S 28|[Fest]
sAD|[&Uuml;berschrift zu einer M&ouml;belliste]|Wb IV S 28|[Ueberschrift zu einer Moebelliste]
sj|(= {zr}) Schaf|Wb III S 424|(= {zr}) Schaf
sj|(= {zbj}) gehen|Wb III S 424|(= {zbj}) gehen
sj|(= {zbj}) verschwinden|Wb III S 424|(= {zbj}) verschwinden
sj|wer?|Wb III S 424|wer?
sj|sie (abh pron 3 fem sg)|Wb IV S 28|sie (abh pron 3 fem sg)
sj|sie beide (pron suff 3 fem dual)|Wb IV S 28|sie beide (pron suff 3 fem dual)
sj|(= {z}) Mann|Wb IV S 29|(= {z}) Mann
sj|unsicher gehen|Wb IV S 29|unsicher gehen
sjt|(= {swrt}) Perle|Wb IV S 29|(= {swrt}) Perle
sjjt|Locke(?)|Meeks: AL 783320|Locke(?)
sj-nw|wann?|Wb III S 425|wann?
sjA|erkennen|Wb IV S 30|erkennen
sjA|Erkenntnis|Wb IV S 31|Erkenntnis
sjA|Kennzeichen|Wb IV S 31|Kennzeichen
sjA|[Medikament f&uuml;r Augen]|Wb IV S 31|[Medikament fuer Augen]
sjA|[Gew&auml;sser im 21 Gau von Unter&auml;gypten]|Wb IV S 31|[Gewaesser im 21 Gau von Unteraegypten]
sjAt|St&uuml;ck Leinenzeug|Wb IV S 29|Stueck Leinenzeug
sjAt|[Amulett in Vogelgestalt]|Wb IV S 29|[Amulett in Vogelgestalt]
sjAt|[Beischrift zu einer aufgerichteten Schlange]|Wb IV S 31|[Beischrift zu einer aufgerichteten Schlange]
sjAw|[heiliger Falke]|Wb IV S 29|[heiliger Falke]
sjAw|[14 Tag des Mondmonats]|Wb IV S 31|[14 Tag des Mondmonats]
sjAw|[17 Tag des Mondmonats]|Wb IV S 31|[17 Tag des Mondmonats]
sjAr|(Verbum von Behandlung eines Heilmittels]|Wb IV S 31|(Verbum von Behandlung eines Heilmittels]
sjAT|betr&uuml;gen, jemanden verst&uuml;mmeln|Wb IV S 32|betruegen, jemanden verstuemmeln
sjATj|Betr&uuml;ger|Wb IV S 32|Betrueger
sjATj|[heiliges Bein des Osiris]|Wb IV S 32|[heiliges Bein des Osiris]
sjjn|[Substantiv]|Meeks: AL 792425|[Substantiv]
sjar|emporsteigen lassen|Wb IV S 32|emporsteigen lassen
sjart|[Beiname der Schlangeng&ouml;ttin von Buto]|Wb IV S 33|[Beiname der Schlangengoettin von Buto]
sjar-mAat|Wahres melden|Wb IV S 33|Wahres melden
sjart-nb=s|[2 Nachtstunde]|Wb IV S 33|[2 Nachtstunde]
sjtw|damit|Wb III S 431|damit
sjw|jemanden einem H&ouml;heren melden|Wb IV S 34|jemanden einem Hoeheren melden
sjw|[Gew&auml;sser am Himmel]|Wb IV S 34|[Gewaesser am Himmel]
sjww|Ankl&auml;ger|Wb IV S 34|Anklaeger
sjwa|etwas erben|Wb IV S 34|etwas erben
sjwr|befruchten, schw&auml;ngern|Wb IV S 34|befruchten, schwaengern
sjwh|sich r&uuml;hmen (einer Sache)|Wb IV S 34|sich ruehmen (einer Sache)
sjwH|&uuml;berschwemmen|Wb IV S 34|ueberschwemmen
sjwH|Gewaltt&auml;tigkeit|Wb IV S 35|Gewalttaetigkeit
sjp|revidieren|Wb IV S 35|revidieren
sjp|Revision|Wb IV S 35|Revision
sjptj|revidieren|Wb IV S 36|revidieren
sjptj|Revision|Wb IV S 36|Revision
sjptj|[vom Herstellen einer Statue]|Wb IV S 36|[vom Herstellen einer Statue]
sjpw|Revision|Wb IV S 36|Revision
sjptj-wr|[Buch &uuml;ber Tempelbesitz]|Wb IV S 36|[Buch ueber Tempelbesitz]
sjpj|Bauwerk errichten|Wb IV S 36|Bauwerk errichten
sjpj|genau|Wb IV S 37|genau
sjpj|niedermetzeln|Wb IV S 37|niedermetzeln
sjpjt|Zuweisung (Opfergaben )|Wb IV S 36|Zuweisung (Opfergaben )
sjp(w)|Ohnmacht|RdE 29 (1977) S 11; Meeks: AL 773385|Ohnmacht
sjf|[Verb]|Meeks: AL 783330|[Verb]
sjf|beleidigen (G&ouml;ttin)|Wb IV S 37|beleidigen (Goettin)
sjf|[10 Tag des Mondmonats]|Wb IV S 37|[10 Tag des Mondmonats]
sjf|(= {sfj}) Kind|Wb IV S 37|(= {sfj}) Kind
sjft|[Gef&auml;&szlig;(?)]|Meeks: AL 783331|[Gefaess(?)]
sjm|Nebel|Wb IV S 37|Nebel
sjmA|freundlich stimmen|Wb IV S 37|freundlich stimmen
sjn|reiben, abwischen|Wb III S 425|reiben, abwischen
sjn|(= {zwnw}) Arzt|Wb III S 426|(= {zwnw}) Arzt
sjn|Ton (Material)|Wb IV S 37|Ton (Material)
sjn|Privatstatue im Tempel|Wb IV S 38|Privatstatue im Tempel
sjn|warten|Wb IV S 38|warten
sjn|eilen|Wb IV S 38|eilen
sjn|[Schneller, Bezeichnung eines Gottes]|Wb IV S 39|[Schneller, Bezeichnung eines Gottes]
sjn|(= {zjn}) abwischen, reiben|Wb IV S 39|(= {zjn}) abwischen, reiben
sjnt|Eilboot|Wb IV S 39|Eilboot
sjnt|[Tempelger&auml;t aus Kupfer]|Wb IV S 39|[Tempelgeraet aus Kupfer]
sjn nHp|Umfassungsmauer|RdE 29 (1977) S 11; Meeks: AL 773391|Umfassungsmauer
sjnw|Eilbote|Wb IV S 39|Eilbote
sjn-mdw|Feuer bohren|Wb III S 426|Feuer bohren
sjn-Hr|[schlechte Eigenschaft]|Wb IV S 39|[schlechte Eigenschaft]
sjn-sAj|tr&auml;ge Verdauung|Wb IV S 38|traege Verdauung
sjn-gst|eilen|Wb V S 204|eilen
sjnm|[Verb]|Meeks: AL 783337|[Verb]
sjnd|traurig stimmen|Wb IV S 40|traurig stimmen
sjr|[vom Herzen]|Wb IV S 40|[vom Herzen]
sjH|Wahnsinn|Wb IV S 40|Wahnsinn
sjs|sechs|Wb IV S 40|sechs
sjs|Sechsgewebe|Wb IV S 40|Sechsgewebe
sjsj|Aufflammen, Feuer|Pyrt #!397c|Aufflammen, Feuer
sjsj|leicht machen (Last)|Wb IV S 40|leicht machen (Last)
sjsj|eilen|Wb IV S 40|eilen
sjS|(Verbum von Festvorbereitung)|Wb IV S 40|(Verbum von Festvorbereitung)
sjSj|leuchten (von Stern)|Wb III S 426|leuchten (von Stern)
sjqr|jemanden auszeichnen, bef&ouml;rdern|Wb IV S 40|jemanden auszeichnen, befoerdern
sjkn|vernichten|Wb IV S 41|vernichten
sjtjjw|[D&auml;monen]|Meeks: AL 783339|[Daemonen]
sjT|[Partikel(?)]|Meeks: AL 783340|[Partikel(?)]
sjTn|unterwerfen(?), n&ouml;tigen(?)|Meeks: AL 783341; Meeks: AL 792434|unterwerfen(?), noetigen(?)
sjd|dem&uuml;tigen|Wb IV S 41|demuetigen
sjd|Haufen (von Brot o &auml;) und Unterlage|Wb IV S 41|Haufen (von Brot o ae) und Unterlage
saA|gro&szlig; machen|Wb IV S 41|gross machen
saA|(= {aA}) gro&szlig;|Wb IV S 42|(= {aA}) gross
saA|furchterregend (vom K&ouml;nig)|Wb IV S 42|furchterregend (vom Koenig)
saA|Bordbrett des Schiffs|Wb IV S 43|Bordbrett des Schiffs
saAm|[offizinell verwendete Pflanze]|Wb IV S 43|[offizinell verwendete Pflanze]
saj|zittern|Wb IV S 43|zittern
saa|[zahlenm&auml;&szlig;ige Aufstellung &uuml;ber Vieh]|Wb IV S 43|[zahlenmaessige Aufstellung ueber Vieh]
saa|(= {sjwa}) etwa erben|Wb IV S 43|(= {sjwa}) etwa erben
sawA|verfaulen lassen|Wb IV S 43|verfaulen lassen
sab|(= {swab}) reinigen|Wb IV S 43|(= {swab}) reinigen
sab|Holz zuschneiden|Wb IV S 43|Holz zuschneiden
sab|verschnittener Stier, Bezeichnung des Mondes|Wb IV S 44|verschnittener Stier, Bezeichnung des Mondes
sab|geschm&uuml;ckt sein|Wb IV S 44|geschmueckt sein
sab|Schmuck|Wb IV S 44|Schmuck
sab|[Brot]|Wb IV S 44|[Brot]
sabA|in Furcht sein (bildlich)|Wb IV S 44|in Furcht sein (bildlich)
sap|an einem Ort vorbeigehen lassen|Wb IV S 44|an einem Ort vorbeigehen lassen
sap|[Brot]|Wb IV S 44|[Brot]
sam|verschlucken|Wb IV S 44|verschlucken
sam|ausgelegt sein (mit Gold)|Wb IV S 45|ausgelegt sein (mit Gold)
sam|Einlagen (in Mumienh&uuml;lle)|Wb IV S 45|Einlagen (in Mumienhuelle)
sam|[offizinell verwendete Pflanze]|Wb IV S 45|[offizinell verwendete Pflanze]
sama|(= {smAa}) Gebet|Wb IV S 45|(= {smAa}) Gebet
samam|(= {smAa}) Gebet|Wb IV S 45|(= {smAa}) Gebet
san|versch&ouml;nern|Wb IV S 46|verschoenern
sanx|leben lassen, lebendig machen|Wb IV S 46|leben lassen, lebendig machen
sanx|[Bezeichnung f&uuml;r den Bildhauer]|Wb IV S 47|[Bezeichnung fuer den Bildhauer]
sanx|bilden (als Bildhauer)|Wb IV S 47|bilden (als Bildhauer)
sanx|[Bezeichnung des Ptah-Soker-Osiris]|Wb IV S 47|[Bezeichnung des Ptah-Soker-Osiris]
sanx|Einkommen|Meeks: AL 792442|Einkommen
sanxt|[etwas, worauf der tote K&ouml;nig sitzt]|Wb IV S 47|[etwas, worauf der tote Koenig sitzt]
sanD|wenig machen|Wb IV S 48|wenig machen
sar|(= {sjar}) emporsteigen lassen|Wb IV S 48|(= {sjar}) emporsteigen lassen
sar|[Pflanze, dem Papyrus &auml;hnlich]|Wb IV S 48|[Pflanze, dem Papyrus aehnlich]
sar|Wald, Gestr&uuml;pp|Wb IV S 48|Wald, Gestruepp
sar|[Sternbild]|Wb IV S 48|[Sternbild]
sarj|Opferst&auml;nder mit Schale|Wb IV S 48|Opferstaender mit Schale
sarq|zu Ende bringen, vollenden|Wb IV S 48|zu Ende bringen, vollenden
sarq|v&ouml;llig vernichten (Feinde)|Wb IV S 48|voellig vernichten (Feinde)
sarq|auswringen (W&auml;sche)|Wb IV S 49|auswringen (Waesche)
sart|Wolle|Wb IV S 49|Wolle
saH|W&uuml;rdenzeichen, W&uuml;rde|Wb IV S 49|Wuerdenzeichen, Wuerde
saH|Kraft (der Winde)|Wb IV S 50|Kraft (der Winde)
saH|Halsschmuck (des memph Hohenpriesters)|Wb IV S 50|Halsschmuck (des memph Hohenpriesters)
saH|Binde (um den Kopf)|Wb IV S 50|Binde (um den Kopf)
saH|auszeichnen|Wb IV S 50|auszeichnen
saH|Edler|Wb IV S 50|Edler
saH|Mumie, Gestalt|Wb IV S 51|Mumie, Gestalt
saH|Balsamierungsst&auml;tte|Wb IV S 52|Balsamierungsstaette
saHtj|Isis und Nephthys|Wb IV S 52|Isis und Nephthys
saH-nTr|[Leinenstoff]|Wb IV S 52|[Leinenstoff]
saHt-nTr|[Himmelskuh]|Wb IV S 52|[Himmelskuh]
saH-Hr-pat|[Amulett]|Wb IV S 52|[Amulett]
saHa|aufstellen|Wb IV S 53|aufstellen
saHa-btA|Unrecht verfolgen|Wb IV S 54|Unrecht verfolgen
saHa-mtrw|Zeugen stellen|Wb IV S 54|Zeugen stellen
sax|hochheben (den Himmel)|Wb IV S 54|hochheben (den Himmel)
sax|verbrennen|Wb IV S 54|verbrennen
sasa|(Verbum)|Wb IV S 54|(Verbum)
saSt|[Krankheit]|Wb IV S 54|[Krankheit]
saSA|zahlreich machen|Wb IV S 54|zahlreich machen
saSA|abwehren|Wb IV S 55|abwehren
saSA|Polizist|Wb IV S 55|Polizist
saSA|Abwehrzauber|Wb IV S 55|Abwehrzauber
saSA|[Gefl&uuml;gel]|Wb IV S 55|[Gefluegel]
saq|eintreten lassen, hineinf&uuml;hren|Wb IV S 55|eintreten lassen, hineinfuehren
saq|&lt;&lt;in: {saq n} N &quot;der den Gott N einf&uuml;hrt&quot; [Bezeichnung des Tempelpf&ouml;rtners]&gt;&gt;]|Meeks: AL 792455|<<in: {saq n} N "der den Gott N einfuehrt" [Bezeichnung des Tempelpfoertners]>>]
saq-nTr|Einf&uuml;hrung des Gottes|Wb IV S 56|Einfuehrung des Gottes
saqA|gerade machen|Wb IV S 56|gerade machen
saqj|der Einberufene(?), der Angeworbene(?)|Meeks: AL 773420; Meeks: AL 783360|der Einberufene(?), der Angeworbene(?)
sagA|kentern lassen|Wb IV S 56|kentern lassen
saD|(Verbum)|Wb IV S 56|(Verbum)
saD|wohlbehalten sein lassen|Wb IV S 56|wohlbehalten sein lassen
saDA|verderben|Wb IV S 57|verderben
sw|(= {ssw}) Zeit|Wb III S 426|(= {ssw}) Zeit
sw|[Fisch]|Wb III S 426|[Fisch]
swt|Weizen|Wb III S 426|Weizen
sw|(= {sjw}) melden|Wb IV S 57|(= {sjw}) melden
sw|(= {sbA}) Stern|Wb IV S 57|(= {sbA}) Stern
sw|Zeit|Wb IV S 57|Zeit
sw|Monatstag|Wb IV S 58|Monatstag
sw|[Pflanze]|Wb IV S 58|[Pflanze]
sw|[Opfergegenstand aus Byblos]|Wb IV S 58|[Opfergegenstand aus Byblos]
sw|er (abh pron 3 masc sg)|Wb IV S 59|er (abh pron 3 masc sg)
sw|und da, und so|Wb IV S 59|und da, und so
sw|[Ente]|Wb IV S 59|[Ente]
sw|sch&auml;dlich f&uuml;r|Wb IV S 59|schaedlich fuer
sw|Leichengeruch|Wb IV S 60|Leichengeruch
sw|(= {jsw}) Ersatz|Wb IV S 60|(= {jsw}) Ersatz
sw|[&Ouml;l]|Meeks: AL 773423|[Oel]
sw|an Macht zunehmen(?)|Meeks: AL 783367|an Macht zunehmen(?)
sw?|[milit&auml;rischer Titel]|Meeks: AL 773431; Meeks: AL 792467|[militaerischer Titel]
swt|[in einer Werkzeugliste]|Wb IV S 57|[in einer Werkzeugliste]
swt|(= {zwt}) Weizen|Wb IV S 57|(= {zwt}) Weizen
swt|[etwas Krankhaftes am Finger]|Wb IV S 57|[etwas Krankhaftes am Finger]
swt|[Binse]|Wb IV S 58|[Binse]
swt|Schaden|Wb IV S 59|Schaden
swt|[K&ouml;rperteil des Rindes]|Wb IV S 60|[Koerperteil des Rindes]
swt|Geflecht(?), Docht(?)|Meeks: AL 783373|Geflecht(?), Docht(?)
swt|[Substantiv]|Meeks: AL 783374|[Substantiv]
swtjj|der Gef&auml;hrliche = das Krokodil|Meeks: AL 783370|der Gefaehrliche = das Krokodil
swtt|voller Ersatz f&uuml;r Horusauge|Wb IV S 60|voller Ersatz fuer Horusauge
swtt|[Vogel]|Meeks: AL 783371|[Vogel]
swtt|[Getr&auml;nk]|Meeks: AL 773429|[Getraenk]
swtjjw|die im Schilfrohr leben(?)|Meeks: AL 783372|die im Schilfrohr leben(?)
swwnTw|[Gott]|Wb III S 428|[Gott]
sw-mD|Dekade|Wb IV S 58|Dekade
swA|f&auml;llen (B&auml;ume)|Wb III S 427|faellen (Baeume)
swA|vorbeigehen|Wb IV S 60|vorbeigehen
swA|(= {swAS}) ehren|Wb IV S 62|(= {swAS}) ehren
swA|[M&ouml;bel(?)]|Meeks: AL 783380|[Moebel(?)]
swAt|Vergangenheit|Wb IV S 62|Vergangenheit
swAt|[Substantiv]|RdE 29 (1977) S 11; Meeks: AL 773434|[Substantiv]
swAw|Umgebung|Wb IV S 62|Umgebung
swAj|fernhalten|Wb IV S 60|fernhalten
swAjt|[Fleischst&uuml;ck]|RdE 29 (1977) S 11; Meeks: AL 773435|[Fleischstueck]
swAtjw|Beiwort von Sterng&ouml;ttern|Wb IV S 62|Beiwort von Sterngoettern
swAw|Vor&uuml;bergehender [D&auml;mon]|Meeks: AL 783379|Voruebergehender [Daemon]
swAw|Gefolge|Meeks: AL 792464|Gefolge
swAwA|vorbeigehen lassen|Wb IV S 62|vorbeigehen lassen
swAH|dauern lassen|Wb IV S 62|dauern lassen
swAH|ausbreiten, bedecken|Meeks: AL 773437|ausbreiten, bedecken
swAHt|Befestigung|Wb IV S 63|Befestigung
swAx|gr&uuml;nen lassen|Wb IV S 63|gruenen lassen
swAS|angesehen machen|Wb IV S 63|angesehen machen
swAS|Strick (an der Harpune)|Wb IV S 64|Strick (an der Harpune)
swAS-Hknw|Hymnen anstimmen|Wb IV S 64|Hymnen anstimmen
swAD|gr&uuml;nen machen, gedeihen lassen|Wb IV S 64|gruenen machen, gedeihen lassen
swAD|[Bezeichnung des Horus und Chons]|Wb IV S 65|[Bezeichnung des Horus und Chons]
swADt|[Amulett]|Wb IV S 65|[Amulett]
swADwAD|gr&uuml;nen lassen|Wb IV S 65|gruenen lassen
swj|trinken|Wb III S 428|trinken
swj|[Bezeichnung f&uuml;r Krokodil]|Wb IV S 65|[Bezeichnung fuer Krokodil]
swjt|K&uuml;gelchen (Form f&uuml;r Medikamente)|Wb IV S 65|Kuegelchen (Form fuer Medikamente)
swa|allein lassen|Wb IV S 65|allein lassen
swab|reinigen|Wb IV S 66|reinigen
swab|[Bezeichnung f&uuml;r Natron]|Wb IV S 67|[Bezeichnung fuer Natron]
sww|gef&auml;hrliche Nachbarschaft(?)|Meeks: AL 783382|gefaehrliche Nachbarschaft(?)
swbA|Gesicht &ouml;ffnen|Wb IV S 67|Gesicht oeffnen
swbA-Hr|anleiten|Wb IV S 67|anleiten
swbb|Umweg machen|Wb IV S 67|Umweg machen
swbk|gr&uuml;nen machen|Wb IV S 67|gruenen machen
swmt|dick machen|Wb IV S 67|dick machen
swn|Pfeil|Wb III S 427|Pfeil
swnt|(= {swnt}) Kauf|Wb III S 427|(= {swnt}) Kauf
swn|Handel treiben|Wb IV S 68|Handel treiben
swn|leiden|Wb IV S 68|leiden
swn|&ouml;ffnen|Wb IV S 68|oeffnen
swn|von etwas wissen|Wb IV S 69|von etwas wissen
swn|erkennen|Cerny: CED S 168|erkennen
swnt|Handel|Wb IV S 68|Handel
swnw|Festung|Wb IV S 69|Festung
swnw|Syene|Wb IV S 69|Syene
swnw|[Gew&auml;sser]|Wb IV S 69|[Gewaesser]
swnw|(Verbum)|Wb IV S 69|(Verbum)
swn-Hr|jemanden anweisen|Wb IV S 68|jemanden anweisen
swnj|Pelusium|Wb IV S 69|Pelusium
swnjt|Leiden|Wb IV S 68|Leiden
swnTw|[Gott]|Wb III S 428|[Gott]
swnw|[Gef&auml;&szlig;]|Wb III S 427|[Gefaess]
swnw|Arzt|Wb III S 427|Arzt
swnw|leiden|Wb III S 428|leiden
s(w)nw|&lt;&lt;in: {m swnw=f} &quot;anstelle von&quot;&gt;&gt;|Meeks: AL 773445|<<in: {m swnw=f} "anstelle von">>
swnw nfr||In: MDAIK 16 S 408 Sp 1|
swnw-jrtj|Augenarzt|Wb I S 106|Augenarzt
swnw-Hr|[D&auml;mon(?)]|Meeks: AL 783392|[Daemon(?)]
swnwn|schmeicheln|Wb IV S 69|schmeicheln
swnwn|Schmeichelei|Wb IV S 69|Schmeichelei
swnf|froh machen|Wb IV S 69|froh machen
swnn|[Epithet des Horus]|Meeks: AL 773451|[Epithet des Horus]
swr|trinken|Wb III S 428|trinken
swr|Trinkschale|Wb III S 429|Trinkschale
swr|[Fische]|Wb III S 429|[Fische]
swr|[Ger&auml;t]|Wb III S 429|[Geraet]
swrt|Trank|Wb III S 429|Trank
swrt|Tr&auml;nkstelle|Wb III S 429|Traenkstelle
swrt|(= {swrt}) Perle|Wb III S 429|(= {swrt}) Perle
swr|gro&szlig; machen, gro&szlig; werden lassen, vermehren|Wb IV S 70|gross machen, gross werden lassen, vermehren
swr|[&Ouml;l oder Salbe]|Wb IV S 70|[Oel oder Salbe]
swr|[Teil des Wagens]|Wb IV S 71|[Teil des Wagens]
swr|Trunksucht|Meeks: AL 773453|Trunksucht
swrt|Perle|Wb IV S 71|Perle
swrt|Getr&auml;nke|Meeks: AL 792476|Getraenke
swrwt|[Vogel]|Wb III S 429|[Vogel]
swrH|salben|Wb IV S 71|salben
swrx|gr&uuml;nen lassen|Wb IV S 63|gruenen lassen
swrD|m&uuml;de machen|Wb IV S 71|muede machen
swh|verschwinden lassen|Wb IV S 72|verschwinden lassen
swhj|r&uuml;hmen, br&uuml;llen|Wb IV S 71|ruehmen, bruellen
swhj|zornigen L&ouml;wen bes&auml;nftigen|Wb IV S 72|zornigen Loewen besaenftigen
swH|Schurz|Wb IV S 72|Schurz
swH|sich verh&uuml;llen|Wb IV S 72|sich verhuellen
swH|einpacken (V&ouml;gel in Kasten)|Wb IV S 72|einpacken (Voegel in Kasten)
swH|(Verbum vom Erschaffen des Samens durch Chnum)|Wb IV S 72|(Verbum vom Erschaffen des Samens durch Chnum)
swH|Wind, Luft|Wb IV S 72|Wind, Luft
swH|kneten|Meeks: AL 773457|kneten
swH|[Gottheit]|Meeks: AL 783401|[Gottheit]
swHt|Ei|Wb IV S 73|Ei
swHt|Napf|Wb IV S 74|Napf
swHt|[innerster Sarg]|Wb IV S 74|[innerster Sarg]
swHwt|Gnade|Wb IV S 74|Gnade
swHtjj|[Fisch]|Meeks: AL 773460; Meeks: AL 783402|[Fisch]
swx|Nacht zubringen|Wb IV S 74|Nacht zubringen
swxA|sch&auml;digen|Wb IV S 74|schaedigen
swxd|jemandem schaden|Wb IV S 74|jemandem schaden
sws|zu nichts machen, zerst&ouml;ren|Meeks: AL 773461|zu nichts machen, zerstoeren
swsw|[Gew&auml;sser]|Wb III S 429|[Gewaesser]
swsr|stark machen, reich machen|Wb IV S 74|stark machen, reich machen
swsx|weit machen|Wb IV S 74|weit machen
swS|zusammenballen|Wb IV S 75|zusammenballen
swS|Bausch|Wb IV S 75|Bausch
swS|[Krankhaftes]|Wb IV S 76|[Krankhaftes]
swSwt|Stricke (zum Binden)|Wb IV S 76|Stricke (zum Binden)
swSr|d&ouml;rren|Wb IV S 76|doerren
swgA|t&ouml;richt sein|Wb IV S 76|toericht sein
swgA|unm&uuml;ndiges Kind|Wb IV S 76|unmuendiges Kind
swg(g)|berauben, sch&auml;digen|Meeks: AL 783408|berauben, schaedigen
swt|er (pron abs 3 masc sg)|Wb IV S 76|er (pron abs 3 masc sg)
swt|aber, doch|Wb IV S 77|aber, doch
swt|Hauch|Wb IV S 77|Hauch
swtj|gro&szlig; sein|Wb IV S 77|gross sein
swtjt|Perle, K&uuml;gelchen|Wb IV S 77|Perle, Kuegelchen
swt(jj)|[Beiwort des Osiris]|Meeks: AL 773466|[Beiwort des Osiris]
swtwt|sich ergehen|Wb IV S 77|sich ergehen
swtnt|(vom K&ouml;nig beim Darbringen von Blumen)|Wb IV S 78|(vom Koenig beim Darbringen von Blumen)
